Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g04;p02;C;0;1;drag;search;B;22;0;0;0;17,92916;0;346;22,91782;0
g04;p02;C;1;1;drag;move;B;37;2;2;0;3,37093;0;0;9;2,632202
g04;p02;C;2;1;drag;search;L;11;0;0;0;11,33042;0;233;20,53333;0
g04;p02;C;3;1;drag;move;L;8;3;3;0;4,137665;0;0;7,166626;3,043274
g04;p02;C;4;1;drag;search;R;47;0;0;0;8,62371;0;224,5;15,82996;0
g04;p02;C;5;1;drag;move;R;51;2;2;0;3,262878;0;0;5,411072;2,054626
g04;p02;C;6;0;drag;search;B;34;0;0;0;3,823885;0;168,5;9,269653;0
g04;p02;C;7;0;drag;move;B;29;3;3;0;2,410505;0;0;5,477783;1,865784
g04;p02;C;8;0;drag;search;R;59;0;0;0;6,627707;0;153,5;13,01263;0
g04;p02;C;9;0;drag;move;R;43;1;1;0;6,995909;0;0;3,35553;1,254639
g04;p02;C;10;0;drag;search;L;6;0;0;0;6,309057;0;53,5;7,934448;0
g04;p02;C;11;0;drag;move;L;10;3;3;0;4,212229;0;0;7,588928;2,609985
g04;p02;C;12;0;drag;search;B;31;0;0;0;5,91237;0;128,5;11,02179;0
g04;p02;C;13;0;drag;move;B;25;1;1;0;3,124271;0;2;3,599976;1,576965
g04;p02;C;14;0;drag;search;L;14;0;0;0;6,082189;0;220;17,79852;0
g04;p02;C;15;0;drag;move;L;19;2;2;0;3,366949;0;3,5;7,266663;1,676758
g04;p02;C;16;0;drag;move;R;43;2;1;1;8,172755;1;39,64697;11,06665;2,109558
g04;p02;C;17;0;drag;search;R;59;0;0;0;4,229293;0;104,5;5,279053;0
g04;p02;C;18;0;drag;move;B;29;2;2;0;6,574324;0;0;4,977783;1,088989
g04;p02;C;19;0;drag;search;B;34;0;0;0;4,758023;0;107,5;6,664612;0
g04;p02;C;20;0;drag;move;R;51;3;1;1;4,936562;1;16,49456;8,455566;1,577271
g04;p02;C;21;0;drag;search;R;47;0;0;0;4,063767;0;88;5,283936;0
g04;p02;C;22;0;drag;move;L;8;4;0;0;13,42963;0;0;8,43335;3,797913
g04;p02;C;23;0;drag;search;L;11;0;0;0;4,273695;0;98,5;6,458252;0
g04;p02;C;24;0;drag;move;B;37;5;1;0;11,16145;0;0;7,311096;3,05365
g04;p02;C;25;0;drag;search;B;22;0;0;0;3,908121;0;70,5;4,287659;0
#pause;
g04;p02;C;26;1;joy;search;R;40;0;0;0;4,627526;0;161;8,263184;0
g04;p02;C;27;1;joy;move;R;56;5;0;0;3,345437;18;64,188;6,177856;3,261597
g04;p02;C;28;1;joy;search;B;24;0;0;0;6,024085;0;165,5;11,14453;0
g04;p02;C;29;1;joy;move;B;39;8;0;0;4,109338;3;18,97639;5,644409;3,698608
g04;p02;C;30;1;joy;search;L;2;0;0;0;8,170157;0;295,5;7,165405;0
g04;p02;C;31;1;joy;move;L;17;4;0;0;4,732649;3;10,46053;5,022217;2,973511
g04;p02;C;32;0;joy;search;R;54;0;0;0;6,680863;0;357;9,605713;0
g04;p02;C;33;0;joy;move;R;49;5;0;0;3,959356;4;21,95297;4,444458;1,488037
g04;p02;C;34;0;joy;search;B;26;0;0;0;7,410989;0;240;8,748291;0
g04;p02;C;35;0;joy;move;B;32;5;0;0;5,210575;2;6,914831;5,299927;4,364502
g04;p02;C;36;0;joy;search;L;4;0;0;0;4,607266;0;263,5;5,30127;0
g04;p02;C;37;0;joy;move;L;0;12;0;0;5,210967;4;27,97653;6,177856;3,259766
g04;p02;C;38;0;joy;search;R;58;0;0;0;6,938123;0;416;8,397217;0
g04;p02;C;39;0;joy;move;R;42;10;0;0;6,208171;10;38,2589;7,699951;3,994019
g04;p02;C;40;0;joy;search;L;15;0;0;0;7,299458;0;242;6,061401;0
g04;p02;C;41;0;joy;move;L;1;7;0;0;2,77005;4;9,45245;6,333374;3,536621
g04;p02;C;42;0;joy;move;B;32;22;0;0;13,55867;13;70,62081;14,58887;7,849609
g04;p02;C;43;0;joy;search;B;26;0;0;0;7,074538;0;218;5,276611;0
g04;p02;C;44;0;joy;move;R;49;5;0;0;7,14338;5;96,3079;8,288818;2,821045
g04;p02;C;45;0;joy;search;R;54;0;0;0;3,627128;0;103;6,307983;0
g04;p02;C;46;0;joy;move;L;17;2;0;0;6,150577;2;44,6839;7,266602;2,165405
g04;p02;C;47;0;joy;search;L;2;0;0;0;3,466384;0;216,5;7,959961;0
g04;p02;C;48;0;joy;move;B;39;4;0;0;10,80946;4;61,30264;7,755493;4,564087
g04;p02;C;49;0;joy;search;B;24;0;0;0;3,3829;0;53,5;4,568848;0
g04;p02;C;50;0;joy;move;R;56;2;0;0;5,34728;11;13,43962;5,577759;1,743652
g04;p02;C;51;0;joy;search;R;40;0;0;0;4,129504;0;66,5;4,569946;0
#pause;
g04;p02;C;52;1;TP;search;B;23;0;0;0;2,950871;2;180;9,161743;0,5018311
g04;p02;C;53;1;TP;move;B;38;1;1;0;5,160316;0;0;7,822144;0,5107422
g04;p02;C;54;1;TP;search;R;45;0;0;0;2,432802;1;90;10,81592;0,5130615
g04;p02;C;55;1;TP;move;R;50;1;1;0;2,232449;0;0;6,93335;0,5109863
g04;p02;C;56;1;TP;search;L;12;0;0;0;8,596134;2;180;9,756592;0,5177002
g04;p02;C;57;1;TP;move;L;9;1;1;0;6,725419;0;0;6,355591;0,5109863
g04;p02;C;58;0;TP;search;B;36;0;0;0;3,581223;1;90;13,70996;0,5180664
g04;p02;C;59;0;TP;move;B;30;1;1;0;3,044899;0;0;7,34436;0,5002441
g04;p02;C;60;0;TP;search;R;53;0;0;0;5,827336;1;90;9,05835;0,5163574
g04;p02;C;61;0;TP;move;R;57;1;1;0;4,336078;0;0;5,866699;0,5107422
g04;p02;C;62;0;TP;search;L;13;0;0;0;6,02896;2;180;10,62231;0,5078125
g04;p02;C;63;0;TP;move;L;7;1;1;0;4,41421;0;0;7,133301;0,5109863
