Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g06;p02;C;4;1;joy;search;R;47;0;0;0;3,211697;0;38;19,0235;0
g06;p02;C;5;1;joy;move;R;51;6;0;0;5,062104;19;58,61256;10,38892;2,665955
g06;p02;C;6;0;joy;search;B;34;0;0;0;3,698271;0;146,5;13,6778;0
g06;p02;C;7;0;joy;move;B;29;10;0;0;7,688748;7;44,90111;7,711121;4,553284
g06;p02;C;8;0;joy;search;R;59;0;0;0;10,45032;0;163,5;15,31848;0
g06;p02;C;9;0;joy;move;R;43;6;0;0;3,751004;11;54,15148;17,23334;3,007324
g06;p02;C;10;0;joy;search;L;6;0;0;0;6,616192;0;147,5;19,40381;0
g06;p02;C;11;0;joy;move;L;10;8;0;0;5,106259;20;177,9077;13,01111;2,437866
g06;p02;C;12;0;joy;search;B;31;0;0;0;5,501219;0;143,5;10,74377;0
g06;p02;C;13;0;joy;move;B;25;8;0;0;4,326034;7;64,23161;9,444458;2,188843
g06;p02;C;14;0;joy;search;L;14;0;0;0;10,11908;0;179,5;9,167847;0
g06;p02;C;15;0;joy;move;L;19;5;0;0;3,777419;10;45,74421;12,16675;2,03186
g06;p02;C;16;0;joy;move;R;43;6;0;0;4,092217;7;103,3622;9,455566;10,68323
g06;p02;C;17;0;joy;search;R;59;0;0;0;5,538034;0;200,5;9,600464;0
g06;p02;C;18;0;joy;move;B;29;5;0;0;6,518836;6;51,99529;6,84436;2,195435
g06;p02;C;19;0;joy;search;B;34;0;0;0;4,131166;0;93;7,476929;0
g06;p02;C;20;0;joy;move;R;51;6;0;0;9,481606;5;61,74359;8,877686;5,509277
g06;p02;C;21;0;joy;search;R;47;0;0;0;5,181667;0;137;10,62195;0
g06;p02;C;22;0;joy;move;L;8;9;0;0;9,796724;16;76,68987;12,57788;4,88562
g06;p02;C;23;0;joy;search;L;11;0;0;0;7,274068;0;91;8,657471;0
g06;p02;C;24;0;joy;move;B;37;7;0;0;9,390596;6;72,37785;12,66663;3,121582
g06;p02;C;25;0;joy;search;B;22;0;0;0;7,790778;0;95,5;6,948853;0
#pause;
g06;p02;C;26;1;drag;search;R;40;0;0;0;16,09237;0;286,5;20,48132;0
g06;p02;C;27;1;drag;move;R;56;6;2;0;5,189588;1;52,08857;12,73328;6,317017
g06;p02;C;28;1;drag;search;B;24;0;0;0;8,694395;0;115,5;8,269775;0
g06;p02;C;29;1;drag;move;B;39;3;1;0;6,030814;0;0;7,06665;3,931396
g06;p02;C;30;1;drag;search;L;2;0;0;0;14,8038;0;128,5;12,55859;0
g06;p02;C;31;1;drag;move;L;17;2;2;0;5,445228;1;140,0289;11,68884;4,786011
g06;p02;C;32;0;drag;search;R;54;0;0;0;20,88292;0;229;16,59546;0
g06;p02;C;33;0;drag;move;R;49;5;2;0;9,998014;0;28,74934;13,74451;8,00293
g06;p02;C;34;0;drag;search;B;26;0;0;0;12,23538;0;29,5;5,290894;0
g06;p02;C;35;0;drag;move;B;32;5;0;0;12,15878;1;116,9637;10,76672;3,451782
g06;p02;C;36;0;drag;search;L;4;0;0;0;12,51985;0;179,5;9,334106;0
g06;p02;C;37;0;drag;move;L;0;5;2;0;8,051072;3;287,0803;17,16663;3,614136
g06;p02;C;38;0;drag;search;R;58;0;0;0;7,869716;0;74;12,85876;0
g06;p02;C;39;0;drag;move;R;42;2;2;0;3,718938;2;111,0055;9,388916;2,171753
g06;p02;C;40;0;drag;search;L;15;0;0;0;7,976964;0;87,5;6,672852;0
g06;p02;C;41;0;drag;move;L;1;1;1;0;4,15942;0;0;4,666748;1,133057
g06;p02;C;42;0;drag;move;B;32;2;0;0;8,663547;0;0;9,588867;2,330444
g06;p02;C;43;0;drag;search;B;26;0;0;0;2,116518;0;55,5;5,516357;0
g06;p02;C;44;0;drag;move;R;49;2;2;0;7,945745;0;58,45956;14,25562;2,654907
g06;p02;C;45;0;drag;search;R;54;0;0;0;3,156819;0;67,5;6,950684;0
g06;p02;C;46;0;drag;move;L;17;3;0;0;6,12266;2;101,9049;8,65564;1,972656
g06;p02;C;47;0;drag;search;L;2;0;0;0;3,731405;0;60;8,203613;0
g06;p02;C;48;0;drag;move;B;39;3;0;0;7,214871;0;2,18005;12,41113;2,697266
g06;p02;C;49;0;drag;search;B;24;0;0;0;4,284379;0;36,5;5,360107;0
g06;p02;C;50;0;drag;move;R;56;4;1;0;9,849774;2;79,65935;14,81104;4,488892
g06;p02;C;51;0;drag;search;R;40;0;0;0;6,021121;0;43,5;5,404175;0
#pause;
g06;p02;C;52;1;TP;search;B;23;0;0;0;3,568438;0;5,122642E-06;6,601807;0,5185547
g06;p02;C;53;1;TP;move;B;38;2;1;0;5,100138;2;180;14,21094;1,021729
g06;p02;C;54;1;TP;search;R;45;0;0;0;3,301462;1;90;11,57202;0,512207
g06;p02;C;55;1;TP;move;R;50;1;0;0;2,455452;0;0;14,51123;0,5112305
g06;p02;C;56;1;TP;search;L;12;0;0;0;8,264492;2;180;13,94434;0,5065918
g06;p02;C;57;1;TP;move;L;9;1;0;0;5,986056;0;0;9,12207;0,5102539
g06;p02;C;58;0;TP;search;B;36;0;0;0;3,988776;1;90;16,10693;0,5200195
g06;p02;C;59;0;TP;move;B;30;1;1;0;3,064;0;0;7,399902;0,5107422
