Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g02;p02;C;0;1;TP;search;B;22;0;0;0;8,724263;0;0;77,01106;1,025185
g02;p02;C;1;1;TP;move;B;37;2;0;0;6,550173;2;180;39,76666;1,021637
g02;p02;C;2;1;TP;search;L;11;0;0;0;8,722845;1;90;22,96672;0,5174103
g02;p02;C;3;1;TP;move;L;8;1;0;0;5,055071;2;180;10,6778;0,5109863
g02;p02;C;4;1;TP;search;R;47;0;0;0;7,893316;1;90;25,67862;0,5125427
g02;p02;C;5;1;TP;move;R;51;1;0;0;5,211714;1;90;14,42224;0,5110168
g02;p02;C;6;0;TP;search;B;34;0;0;0;4,240613;0;0;7,439819;0,5132751
g02;p02;C;7;0;TP;move;B;29;1;0;0;3,445499;0;0;14,98889;0,5111389
g02;p02;C;8;0;TP;search;R;59;0;0;0;12,55675;3;270;34,06323;1,536163
g02;p02;C;9;0;TP;move;R;43;1;0;0;4,351633;0;0;5,733337;0,5108337
g02;p02;C;10;0;TP;search;L;6;0;0;0;6,702237;0;0;14,69318;1,029968
g02;p02;C;11;0;TP;move;L;10;2;0;0;4,586991;0;0;15,44446;1,021851
g02;p02;C;12;0;TP;search;B;31;0;0;0;8,025795;0;0;7,652405;1,014526
g02;p02;C;13;0;TP;move;B;25;1;0;0;3,073133;0;0;12,23334;0,5001831
g02;p02;C;14;0;TP;search;L;14;0;0;0;6,75013;0;0;6,951263;0,8355713
g02;p02;C;15;0;TP;move;L;19;1;0;0;4,499355;0;0;9,35553;0,5107727
g02;p02;C;16;0;TP;move;R;43;1;0;0;7,236585;0;0;6,744446;0,5108948
g02;p02;C;17;0;TP;search;R;59;0;0;0;5,176854;0;0;9,764771;1,543365
g02;p02;C;18;0;TP;move;B;29;1;0;0;5,546881;0;0;10,03336;0,5110474
g02;p02;C;19;0;TP;search;B;34;0;0;0;5,393897;0;0;9,708679;1,024109
g02;p02;C;20;0;TP;move;R;51;1;0;0;5,5158;0;0;7,411133;0,5002441
g02;p02;C;21;0;TP;search;R;47;0;0;0;5,20541;0;0;11,14081;0,5213013
g02;p02;C;22;0;TP;move;L;8;1;0;0;7,500783;0;0;6,366638;0,5108643
g02;p02;C;23;0;TP;search;L;11;0;0;0;6,085727;0;0;9,282227;0,5143433
g02;p02;C;24;0;TP;move;B;37;1;0;0;9,208755;0;0;4,977783;0,5107422
g02;p02;C;25;0;TP;search;B;22;0;0;0;3,213775;0;0;9,136658;0,5147095
#pause;
g02;p02;C;26;1;drag;search;R;40;0;0;0;5,118014;0;250;16,2254;0
g02;p02;C;27;1;drag;move;R;56;2;0;0;3,83849;0;41,21889;16,87781;17,34808
g02;p02;C;28;1;drag;search;B;24;0;0;0;6,342592;0;72,5;5,609253;0
g02;p02;C;29;1;drag;move;B;39;0;0;0;5,430591;0;0;11,84448;0
g02;p02;C;30;1;drag;search;L;2;0;0;0;8,710923;0;114,5;9,054504;0
g02;p02;C;31;1;drag;move;L;17;1;1;0;2,793436;0;0;8,900024;11,80609
g02;p02;C;32;0;drag;search;R;54;0;0;0;6,175302;0;86;7,47583;0
g02;p02;C;33;0;drag;move;R;49;2;2;0;4,28574;0;2,1661;10,70001;10,93945
g02;p02;C;34;0;drag;search;B;26;0;0;0;6,160954;0;35;4,785217;0
g02;p02;C;35;0;drag;move;B;32;2;0;2;2,860051;0;2,265198;12,0556;13,23865
g02;p02;C;36;0;drag;search;L;4;0;0;0;3,976951;0;38,5;6,660645;0
g02;p02;C;37;0;drag;move;L;0;1;1;0;4,322719;0;0;7,111145;7,175232
g02;p02;C;38;0;drag;search;R;58;0;0;0;5,972932;0;53,5;6,779907;0
g02;p02;C;39;0;drag;move;R;42;1;0;1;4,767441;0;0;9,06665;8,20752
g02;p02;C;40;0;drag;search;L;15;0;0;0;7,092192;0;36,5;13,96619;0
g02;p02;C;41;0;drag;move;L;1;1;1;0;3,589869;0;0;5,855469;10,77295
g02;p02;C;42;0;drag;move;B;32;2;0;2;8,866988;0;0;9,366577;8,21875
g02;p02;C;43;0;drag;search;B;26;0;0;0;3,335889;0;92,5;7,80835;0
g02;p02;C;44;0;drag;move;R;49;2;1;1;8,429428;0;0;18,90002;22,5011
g02;p02;C;45;0;drag;search;R;54;0;0;0;2,99791;0;61;5,700684;0
g02;p02;C;46;0;drag;move;L;17;1;0;1;5,854555;0;0;14,14441;15,38281
g02;p02;C;47;0;drag;search;L;2;0;0;0;2,979739;0;44;8,233032;0
g02;p02;C;48;0;drag;move;B;39;1;0;1;8,63256;0;0;10,82227;13,36072
g02;p02;C;49;0;drag;search;B;24;0;0;0;3,096681;0;29;4,087524;0
g02;p02;C;50;0;drag;move;R;56;1;0;1;5,747222;0;0;5,833252;8,151978
g02;p02;C;51;0;drag;search;R;40;0;0;0;4,61884;0;78;8,504639;0
#pause;
g02;p02;C;52;1;joy;search;B;23;0;0;0;25,14235;0;1049,5;32,18756;0
g02;p02;C;53;1;joy;move;B;38;14;0;0;17,27734;5;122,545;16,26668;7,143082
g02;p02;C;54;1;joy;search;R;45;0;0;0;4,184868;0;84,5;10,13382;0
g02;p02;C;55;1;joy;move;R;50;2;0;0;3,710509;4;0;9,511108;1,63266
g02;p02;C;56;1;joy;search;L;12;0;0;0;7,749445;0;120;5,990479;0
g02;p02;C;57;1;joy;move;L;9;6;0;0;5,001637;4;24,12491;8,877777;7,462555
g02;p02;C;58;0;joy;search;B;36;0;0;0;3,325684;0;44;5,410065;0
g02;p02;C;59;0;joy;move;B;30;2;0;0;3,045805;1;0;4,666656;1,420624
g02;p02;C;60;0;joy;search;R;53;0;0;0;5,9033;0;74,5;5,327454;0
g02;p02;C;61;0;joy;move;R;57;2;0;0;3,192857;1;0;8,755554;1,446991
g02;p02;C;62;0;joy;search;L;13;0;0;0;6,636347;0;76,5;5,27951;0
g02;p02;C;63;0;joy;move;L;7;6;0;0;3,181349;1;0;7,522217;5,427429
g02;p02;C;64;0;joy;search;B;33;0;0;0;3,463996;0;68,5;5,486053;0
g02;p02;C;65;0;joy;move;B;28;3;0;0;3,684565;1;0;7,222229;1,408936
g02;p02;C;66;0;joy;search;R;48;0;0;0;11,01867;0;133,5;6,873322;0
g02;p02;C;67;0;joy;move;R;52;4;0;0;4,390618;0;0;4,222198;2,354675
g02;p02;C;68;0;joy;move;R;57;4;0;0;2,843524;8;46,84658;11,83331;1,721649
g02;p02;C;69;0;joy;search;R;53;0;0;0;2,778522;0;28;4,418671;0
g02;p02;C;70;0;joy;move;B;30;4;0;0;6,501122;3;0,4857221;7,477753;2,820831
g02;p02;C;71;0;joy;search;B;36;0;0;0;3,357375;0;41,5;3,846863;0
g02;p02;C;72;0;joy;move;L;9;2;0;0;3,697982;4;0;5,21109;1,309601
g02;p02;C;73;0;joy;search;L;12;0;0;0;4,954659;0;61,5;11,66312;0,4880066
g02;p02;C;74;0;joy;move;R;50;7;0;0;9,047788;2;0;16,26669;11,15115
g02;p02;C;75;0;joy;search;R;45;0;0;0;8,123953;0;94,5;7,977356;0
g02;p02;C;76;0;joy;move;B;38;4;0;0;4,200632;0;0;5,833313;3,387054
g02;p02;C;77;0;joy;search;B;23;0;0;0;4,23945;0;54;4,875031;0
#pause;
