Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g03;p02;C;0;1;joy;search;B;22;0;0;0;17,56314;0;1153,5;76,99225;0
g03;p02;C;1;1;joy;move;B;37;21;0;0;12,31994;15;72,4493;29,82222;10,5285
g03;p02;C;2;1;joy;search;L;11;0;0;0;10,15323;0;672;26,12646;0
g03;p02;C;3;1;joy;move;L;8;9;0;0;7,617201;9;42,01701;12,63333;4,276001
g03;p02;C;4;1;joy;search;R;47;0;0;0;14,59387;0;478,5;28,84607;0
g03;p02;C;5;1;joy;move;R;51;7;0;0;6,8318;10;38,32292;14,16666;5,175171
g03;p02;C;6;0;joy;search;B;34;0;0;0;6,899245;0;201;7,25174;0
g03;p02;C;7;0;joy;move;B;29;8;0;0;10,29003;4;17,49123;7,566681;3,543182
g03;p02;C;8;0;joy;search;R;59;0;0;0;7,054815;0;440,5;10,37173;0
g03;p02;C;9;0;joy;move;R;43;10;0;0;8,101668;10;43,78816;7,566681;3,209625
g03;p02;C;10;0;joy;search;L;6;0;0;0;7,676392;0;311,5;7,416107;0
g03;p02;C;11;0;joy;move;L;10;4;0;0;3,872842;9;36,56317;5,85556;1,530945
g03;p02;C;12;0;joy;search;B;31;0;0;0;10,21297;0;354;7,960602;0
g03;p02;C;13;0;joy;move;B;25;5;0;0;8,036117;3;27,45484;8,488892;3,22052
g03;p02;C;14;0;joy;search;L;14;0;0;0;10,55343;0;302;7,41568;0
g03;p02;C;15;0;joy;move;L;19;10;0;0;10,08732;6;89,67915;9,277802;3,187408
g03;p02;C;16;0;joy;move;R;43;2;0;0;7,19001;4;179,4123;8,400024;1,751648
g03;p02;C;17;0;joy;search;R;59;0;0;0;9,898436;0;221;7,177734;0
g03;p02;C;18;0;joy;move;B;29;3;0;0;5,618214;3;116,1802;6,033325;2,398926
g03;p02;C;19;0;joy;search;B;34;0;0;0;4,171317;0;168,5;4,854248;0
g03;p02;C;20;0;joy;move;R;51;5;0;0;6,982506;10;53,35286;7,455566;2,596375
g03;p02;C;21;0;joy;search;R;47;0;0;0;9,671357;0;199;17,69141;0
g03;p02;C;22;0;joy;move;L;8;6;0;0;11,05266;8;95,21615;7,888855;3,619385
g03;p02;C;23;0;joy;search;L;11;0;0;0;6,508714;0;180;5,480774;0
g03;p02;C;24;0;joy;move;B;37;5;0;0;8,748857;5;69,9762;6,400024;2,597656
g03;p02;C;25;0;joy;search;B;22;0;0;0;9,044303;0;169;4,955688;0
#pause;
g03;p02;C;26;1;TP;search;R;40;0;0;0;5,304247;1;90;21,25195;0,5073242
g03;p02;C;27;1;TP;move;R;56;1;0;0;5,629841;0;0;10,54443;0,5115967
g03;p02;C;28;1;TP;search;B;24;0;0;0;6,285188;1;90;11,30103;0,5167236
g03;p02;C;29;1;TP;move;B;39;1;0;0;4,416387;2;180;14,32227;0,5002441
g03;p02;C;30;1;TP;search;L;2;0;0;0;8,449748;1;90;16,54834;0,5118408
g03;p02;C;31;1;TP;move;L;17;1;0;0;3,370505;0;0;8,344482;0,5098877
g03;p02;C;32;0;TP;search;R;54;0;0;0;6,494096;2;180;12,9408;0,5201416
g03;p02;C;33;0;TP;move;R;49;1;0;0;4,731867;0;0;7,299927;0,5107422
g03;p02;C;34;0;TP;search;B;26;0;0;0;7,554191;1;90;9,552734;0,5213623
g03;p02;C;35;0;TP;move;B;32;1;0;0;1,560685;0;0;5,622314;0,5002441
g03;p02;C;36;0;TP;search;L;4;0;0;0;4,210378;3;270;10,32898;0,5111084
g03;p02;C;37;0;TP;move;L;0;1;0;0;2,519508;0;0;7,044434;0,5102539
g03;p02;C;38;0;TP;search;R;58;0;0;0;7,009414;2;180;8,774048;0,5117188
g03;p02;C;39;0;TP;move;R;42;1;0;0;3,02893;0;0;7,700073;0,5007324
g03;p02;C;40;0;TP;search;L;15;0;0;0;6,510733;2;180;11,38501;0,5213623
g03;p02;C;41;0;TP;move;L;1;1;0;0;1,66742;0;0;5,211182;0,5111084
g03;p02;C;42;0;TP;move;B;32;1;0;0;5,790054;1;90;6,688843;0,5107422
g03;p02;C;43;0;TP;search;B;26;0;0;0;2,482042;2;180;9,090088;0,5076904
g03;p02;C;44;0;TP;move;R;49;2;0;0;8,7471;1;90;9,71106;1,021729
g03;p02;C;45;0;TP;search;R;54;0;0;0;3,972283;0;0;5,534424;0,519165
g03;p02;C;46;0;TP;move;L;17;1;0;0;6,820237;2;180;9,055542;0,5108643
g03;p02;C;47;0;TP;search;L;2;0;0;0;4,506763;0;0;6,088257;0,5205078
g03;p02;C;48;0;TP;move;B;39;1;0;0;9,443549;1;90;6,011108;0,5108643
g03;p02;C;49;0;TP;search;B;24;0;0;0;3,769416;0;0;4,284912;0,5133057
g03;p02;C;50;0;TP;move;R;56;2;0;0;5,857857;3;270;15,82214;1,020996
g03;p02;C;51;0;TP;search;R;40;0;0;0;5,34832;0;0;5,732544;0,5209961
#pause;
g03;p02;C;52;1;drag;search;B;23;0;0;0;5,824626;0;623;22,23169;0
g03;p02;C;53;1;drag;move;B;38;2;1;1;10,49942;1;21,2066;10,03333;2,643066
g03;p02;C;54;1;drag;search;R;45;0;0;0;3,879276;0;204,5;11,61597;0
g03;p02;C;55;1;drag;move;R;50;1;1;0;3,311671;0;0;5,899902;2,021484
g03;p02;C;56;1;drag;search;L;12;0;0;0;9,030201;0;268,5;11,87085;0
g03;p02;C;57;1;drag;move;L;9;2;2;0;4,964977;0;0;7,699951;2,566528
g03;p02;C;58;0;drag;search;B;36;0;0;0;4,180977;0;236,5;10,77051;0
g03;p02;C;59;0;drag;move;B;30;2;2;0;4,093701;0;0;5,444336;2,099121
g03;p02;C;60;0;drag;search;R;53;0;0;0;6,635706;0;54;6,403076;0
g03;p02;C;61;0;drag;move;R;57;2;2;0;4,059946;0;0;4,56665;1,787842
g03;p02;C;62;0;drag;search;L;13;0;0;0;7,26596;0;195,5;5,990723;0
g03;p02;C;63;0;drag;move;L;7;1;1;0;5,023795;0;0;5,744385;0,8779297
g03;p02;C;64;0;drag;search;B;33;0;0;0;2,762163;0;86;6,23291;0
g03;p02;C;65;0;drag;move;B;28;3;3;0;4,817459;0;0;5,93335;2,85437
g03;p02;C;66;0;drag;search;R;48;0;0;0;7,310218;0;121;8,67395;0
g03;p02;C;67;0;drag;move;R;52;2;2;0;5,208449;0;0;4,48877;2,376953
g03;p02;C;68;0;drag;move;R;57;2;2;0;8,74394;4;318,8015;20,21118;1,944092
g03;p02;C;69;0;drag;search;R;53;0;0;0;2,427629;0;197;7,050537;0
g03;p02;C;70;0;drag;move;B;30;4;3;1;12,1392;1;76,54553;11,18872;4,086426
g03;p02;C;71;0;drag;search;B;36;0;0;0;3,838738;0;101,5;7,494385;0
g03;p02;C;72;0;drag;move;L;9;1;0;1;4,235832;1;159,4495;9,5;0,6550293
g03;p02;C;73;0;drag;search;L;12;0;0;0;5,510936;0;109,5;5,348877;0
g03;p02;C;74;0;drag;move;R;50;3;2;1;10,62432;1;163,7335;8,633545;2,176025
g03;p02;C;75;0;drag;search;R;45;0;0;0;2,757869;0;92,5;6,74585;0
g03;p02;C;76;0;drag;move;B;38;3;2;1;4,604724;2;200,2328;8,766602;2,198975
g03;p02;C;77;0;drag;search;B;23;0;0;0;4,522908;0;60,5;4,644287;0
#pause;
