Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g05;p01;C;0;1;TP;move;B;22;2;0;0;6.470928;6;540;45.63214;1.021515
g05;p01;C;1;1;TP;search;B;37;0;0;0;7.897675;6;540;34.99509;1.025085
g05;p01;C;2;1;TP;move;L;11;2;0;0;8.949777;9;810;36.22784;1.021454
g05;p01;C;3;1;TP;search;L;8;0;0;0;4.566933;6;540;13.19397;0.517395
g05;p01;C;4;1;TP;move;R;47;1;0;0;3.52155;1;90;29.69176;0.5002441
g05;p01;C;5;1;TP;search;R;51;0;0;0;3.64588;6;540;16.77002;0.5046616
g05;p01;C;6;0;TP;move;B;34;2;0;0;7.511127;3;270;18.20416;1.02182
g05;p01;C;7;0;TP;search;B;29;0;0;0;4.112659;2;180;15.93718;0.5189362
g05;p01;C;8;0;TP;move;R;59;2;0;0;6.556009;5;450;19.52977;1.021881
g05;p01;C;9;0;TP;search;R;43;0;0;0;2.84072;4;360;13.18335;0.5197601
g05;p01;C;10;0;TP;move;L;6;2;0;0;7.113729;2;180;10.10243;1.021561
g05;p01;C;11;0;TP;search;L;10;0;0;0;2.988335;0;0;7.989166;0.5102844
g05;p01;C;12;0;TP;move;B;31;3;1;0;8.846545;3;270;17.95509;1.521927
g05;p01;C;13;0;TP;search;B;25;0;0;0;11.10862;10;900;21.7234;2.05957
g05;p01;C;14;0;TP;move;L;14;2;0;0;7.921907;7;630;18.12302;1.010956
g05;p01;C;15;0;TP;search;L;19;0;0;0;6.929582;4;360;13.8381;1.037781
g05;p01;C;16;0;TP;search;R;43;0;0;0;8.227531;2;180;9.5289;1.0401
g05;p01;C;17;0;TP;move;R;59;2;0;0;8.01603;4;360;16.89838;1.010712
g05;p01;C;18;0;TP;search;B;29;0;0;0;7.31531;1;90;9.428986;1.03421
g05;p01;C;19;0;TP;move;B;34;2;0;0;10.91332;2;180;14.18573;1.021851
g05;p01;C;20;0;TP;search;R;51;0;0;0;8.209301;5;450;11.60547;1.029144
g05;p01;C;21;0;TP;move;R;47;4;0;0;16.00744;12;1080;60.72784;2.04364
g05;p01;C;22;0;TP;search;L;8;0;0;0;6.817975;2;180;15.37073;1.03949
g05;p01;C;23;0;TP;move;L;11;2;0;0;10.14277;4;360;22.95007;1.021088
g05;p01;C;24;0;TP;search;B;37;0;0;0;8.552186;3;270;15.44858;1.034485
g05;p01;C;25;0;TP;move;B;22;2;0;0;7.249654;8;720;18.44427;1.021606
#pause;
g05;p01;C;26;1;joy;move;R;40;7;0;0;4.070143;13;376.9145;29.04773;6.98291
g05;p01;C;27;1;joy;search;R;56;0;0;0;13.50703;0;312.5;13.56042;0
g05;p01;C;28;1;joy;move;B;24;9;0;0;11.76426;3;21.95321;10.43396;9.246765
g05;p01;C;29;1;joy;search;B;39;0;0;0;13.05343;0;423.5;13.55273;0
g05;p01;C;30;1;joy;move;L;2;11;0;0;13.2352;10;70.85039;16.16022;7.175171
g05;p01;C;31;1;joy;search;L;17;0;0;0;8.72011;0;263.5;8.012573;0
g05;p01;C;32;0;joy;move;R;54;9;0;0;10.77399;11;107.937;17.30243;5.942444
g05;p01;C;33;0;joy;search;R;49;0;0;0;8.862552;0;827;22.76617;0
g05;p01;C;34;0;joy;move;B;26;6;0;0;14.76966;5;50.47264;9.051453;7.136902
g05;p01;C;35;0;joy;search;B;32;0;0;0;11.68878;0;424.5;13.80737;0
g05;p01;C;36;0;joy;move;L;4;15;0;0;17.85189;18;286.1444;30.9397;14.62866
g05;p01;C;37;0;joy;search;L;0;0;0;0;15.24322;0;506.5;27.14307;0
g05;p01;C;38;0;joy;move;R;58;6;0;0;6.128548;11;224.3961;15.53857;5.461182
g05;p01;C;39;0;joy;search;R;42;0;0;0;12.28213;0;313.5;10.599;0
g05;p01;C;40;0;joy;move;L;15;12;0;0;10.98293;11;217.5903;13.84009;6.973999
g05;p01;C;41;0;joy;search;L;1;0;0;0;9.315523;0;420;9.772461;0
g05;p01;C;42;0;joy;search;B;32;0;0;0;9.231877;0;273.5;9.720703;0
g05;p01;C;43;0;joy;move;B;26;9;0;0;12.40917;8;54.67022;10.49377;5.26416
g05;p01;C;44;0;joy;search;R;49;0;0;0;11.06275;0;378.5;10.71716;0
g05;p01;C;45;0;joy;move;R;54;5;0;0;13.58954;5;120.7318;8.881348;6.111084
g05;p01;C;46;0;joy;search;L;17;0;0;0;9.574553;0;679;17.20203;0
g05;p01;C;47;0;joy;move;L;2;14;0;0;24.00886;10;144.7096;15.3075;12.23267
g05;p01;C;48;0;joy;search;B;39;0;0;0;11.53769;0;372.5;7.266479;0
g05;p01;C;49;0;joy;move;B;24;19;0;0;10.17161;9;19.92471;18.22449;12.23303
g05;p01;C;50;0;joy;search;R;56;0;0;0;8.132067;0;280.5;14.0708;0
g05;p01;C;51;0;joy;move;R;40;8;0;0;10.93167;11;111.6606;12.65381;9.602905
#pause;
g05;p01;C;52;1;drag;move;B;23;7;5;0;74.24722;3;12193.29;46.95288;18.70264
g05;p01;C;53;1;drag;search;B;38;0;0;0;26.71235;0;941.5;41.20276;0
g05;p01;C;54;1;drag;move;R;45;7;4;2;30.09796;1;163.4671;35.51538;11.75806
g05;p01;C;55;1;drag;search;R;50;0;0;0;14.82079;0;745.5;29.13171;0
g05;p01;C;56;1;drag;move;L;12;4;1;0;13.55444;2;180.983;16.28918;4.597534
g05;p01;C;57;1;drag;search;L;9;0;0;0;13.43243;0;208;7.528564;0
g05;p01;C;58;0;drag;move;B;36;4;1;0;8.908063;2;179.5724;16.39832;5.812012
g05;p01;C;59;0;drag;search;B;30;0;0;0;8.481123;0;306;10.89502;0
g05;p01;C;60;0;drag;move;R;53;5;2;0;19.81699;3;261.1811;18.68323;7.805664
g05;p01;C;61;0;drag;search;R;57;0;0;0;10.39084;0;240.5;12.09912;0
g05;p01;C;62;0;drag;move;L;13;5;4;0;10.31156;2;166.8191;18.16992;5.22876
g05;p01;C;63;0;drag;search;L;7;0;0;0;6.448565;0;184;6.950073;0
g05;p01;C;64;0;drag;move;B;33;4;2;0;6.30862;2;111.1169;19.22046;3.241333
g05;p01;C;65;0;drag;search;B;28;0;0;0;11.58884;0;224;7.251221;0
g05;p01;C;66;0;drag;move;R;48;10;4;1;21.07633;2;10589.57;44.00513;12.92847
g05;p01;C;67;0;drag;search;R;52;0;0;0;11.62923;0;514.5;18.34717;0
g05;p01;C;68;0;drag;search;R;57;0;0;0;13.05479;0;237;7.118408;0
g05;p01;C;69;0;drag;move;R;53;0;0;0;7.243639;5;199.9429;15.92383;0
g05;p01;C;70;0;drag;search;B;30;0;0;0;35.09736;0;476;28.47876;0
g05;p01;C;71;0;drag;move;B;36;1;0;0;4.82107;2;197.6783;14.48511;3.592529
g05;p01;C;72;0;drag;search;L;9;0;0;0;9.390433;0;461.5;18.3689;0
g05;p01;C;73;0;drag;move;L;12;4;2;0;9.46104;0;35.4585;10.41699;5.475098
g05;p01;C;74;0;drag;search;R;50;0;0;0;11.16064;0;416;16.19189;0
g05;p01;C;75;0;drag;move;R;45;4;2;0;11.27372;0;0;8.434082;4.240967
g05;p01;C;76;0;drag;search;B;38;0;0;0;12.70686;0;237;11.0918;0
g05;p01;C;77;0;drag;move;B;23;3;1;1;13.45141;1;53.31844;12.69873;4.314453
#pause;
