Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g05;p02;C;0;1;TP;search;B;22;0;0;0;6,462689;6;540;45,6651;1,038422
g05;p02;C;1;1;TP;move;B;37;2;0;0;7,888065;6;540;35,01111;1,021606
g05;p02;C;2;1;TP;search;L;11;0;0;0;8,944065;9;810;36,24979;1,028168
g05;p02;C;3;1;TP;move;L;8;1;0;0;4,566916;6;540;13,18887;0,5105286
g05;p02;C;4;1;TP;search;R;47;0;0;0;3,521749;1;90;31,24339;0,5172844
g05;p02;C;5;1;TP;move;R;51;1;0;0;3,646194;6;540;16,75556;0,5108643
g05;p02;C;6;0;TP;search;B;34;0;0;0;7,507213;3;270;18,28087;1,028763
g05;p02;C;7;0;TP;move;B;29;1;0;0;4,112759;2;180;15,98888;0,511116
g05;p02;C;8;0;TP;search;R;59;0;0;0;6,544761;5;450;19,54114;1,018784
g05;p02;C;9;0;TP;move;R;43;1;0;0;2,843814;4;360;13,2;0,5109406
g05;p02;C;10;0;TP;search;L;6;0;0;0;7,11432;2;180;10,11728;1,026443
g05;p02;C;11;0;TP;move;L;10;1;0;0;2,988335;0;0;8;0,5099945
g05;p02;C;12;0;TP;search;B;31;0;0;0;7,96962;3;270;17,96031;1,027924
g05;p02;C;13;0;TP;move;B;25;4;0;0;10,88859;10;900;21,7;2,033463
g05;p02;C;14;0;TP;search;L;14;0;0;0;7,920687;7;630;18,18069;1,030716
g05;p02;C;15;0;TP;move;L;19;2;0;0;6,932226;4;360;13,87778;1,011139
g05;p02;C;16;0;TP;move;R;43;2;0;0;8,227639;2;180;9,511108;1,021759
g05;p02;C;17;0;TP;search;R;59;0;0;0;8,016451;4;360;16,93808;1,026276
g05;p02;C;18;0;TP;move;B;29;2;0;0;7,315377;1;90;9,477753;1,021301
g05;p02;C;19;0;TP;search;B;34;0;0;0;10,91116;2;180;14,19589;1,034027
g05;p02;C;20;0;TP;move;R;51;2;0;0;8,207261;5;450;11,57779;1,021942
g05;p02;C;21;0;TP;search;R;47;0;0;0;16,44414;12;1080;60,75424;2,058044
g05;p02;C;22;0;TP;move;L;8;2;0;0;6,803533;2;180;15,34445;1,0112
g05;p02;C;23;0;TP;search;L;11;0;0;0;10,1442;4;360;22,95819;1,036926
g05;p02;C;24;0;TP;move;B;37;2;0;0;8,553268;3;270;15,47778;1,011017
g05;p02;C;25;0;TP;search;B;22;0;0;0;7,063654;8;720;18,43228;1,035614
#pause;
g05;p02;C;26;1;joy;search;R;40;0;0;0;4,070143;0;802;29,0387;0
g05;p02;C;27;1;joy;move;R;56;18;0;0;11,10852;13;94,51691;13,55554;9,895935
g05;p02;C;28;1;joy;search;B;24;0;0;0;14,56307;0;216;10,47437;0
g05;p02;C;29;1;joy;move;B;39;10;0;0;8,831363;21;99,83895;13,57776;6,997192
g05;p02;C;30;1;joy;search;L;2;0;0;0;14,60001;0;304;16,2077;0
g05;p02;C;31;1;joy;move;L;17;9;0;0;6,949051;12;60,57761;8,044434;3,622864
g05;p02;C;32;0;joy;search;R;54;0;0;0;10,77399;0;382;17,32092;0
g05;p02;C;33;0;joy;move;R;49;7;0;0;5,584567;27;342,8782;22,73334;4,031982
g05;p02;C;34;0;joy;search;B;26;0;0;0;15,37463;0;239;9,063721;0
g05;p02;C;35;0;joy;move;B;32;10;0;0;10,47097;13;145,0408;13,79999;6,925659
g05;p02;C;36;0;joy;search;L;4;0;0;0;17,33876;0;946,5;30,94281;0
g05;p02;C;37;0;joy;move;L;0;24;0;0;15,20084;23;142,0025;27,17773;12,49609
g05;p02;C;38;0;joy;search;R;58;0;0;0;11,55579;0;562,5;15,51611;0
g05;p02;C;39;0;joy;move;R;42;14;0;0;8,910619;10;83,5013;10,62219;5,326294
g05;p02;C;40;0;joy;search;L;15;0;0;0;16,65404;0;551,5;13,79858;0
g05;p02;C;41;0;joy;move;L;1;6;0;0;5,206637;18;140,651;9,766602;2,464722
g05;p02;C;42;0;joy;move;B;32;6;0;0;6,789601;9;84,44051;9,755615;5,109253
