Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g04;p01;C;66;0;TP;move;R;48;1;1;0;4.884995;1;90;10.0769;0.5109863
g04;p01;C;67;0;TP;search;R;52;0;0;0;3.296724;0;0;5.342041;0.5185547
g04;p01;C;68;0;TP;search;R;57;0;0;0;3.795332;0;0;9.251221;0.5117188
g04;p01;C;69;0;TP;move;R;53;1;1;0;4.150846;0;0;5.784668;0.5112305
g04;p01;C;70;0;TP;search;B;30;0;0;0;6.01997;1;90;11.6394;0.5109863
g04;p01;C;71;0;TP;move;B;36;1;1;0;3.119449;0;0;6.116699;0.5002441
g04;p01;C;72;0;TP;search;L;9;0;0;0;3.439975;1;90;7.507813;0.5131836
g04;p01;C;73;0;TP;move;L;12;1;1;0;6.512026;0;0;4.864502;0.5107422
g04;p01;C;74;0;TP;search;R;50;0;0;0;7.671003;2;180;17.62549;0.5209961
g04;p01;C;75;0;TP;move;R;45;1;1;0;2.344674;0;0;4.916748;0.5112305
g04;p01;C;76;0;TP;search;B;38;0;0;0;2.556423;1;90;6.730957;0.5109863
g04;p01;C;77;0;TP;move;B;23;1;1;0;4.915358;0;0;7.29541;0.5112305
#pause;
