Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g01;p02;C;0;1;drag;search;B;22;0;0;0;85,27858;0;2941;141,6345;0,5144653
g01;p02;C;1;1;drag;move;B;37;13;11;0;42,47905;6;1015,57;49,77779;44,74722
g01;p02;C;2;1;drag;search;L;11;0;0;0;12,05578;0;506,5;39,80411;0
g01;p02;C;3;1;drag;move;L;8;3;3;0;5,088462;0;0;7,266663;15,72601
g01;p02;C;4;1;drag;search;R;47;0;0;0;8,981247;0;326,5;31,94107;0
g01;p02;C;5;1;drag;move;R;51;3;2;0;4,312728;3;174,3223;11,65558;4,009277
g01;p02;C;6;0;drag;search;B;34;0;0;0;21,09782;0;772;26,83679;0
g01;p02;C;7;0;drag;move;B;29;3;3;0;4,68545;2;136,5184;13,95554;7,76297
g01;p02;C;8;0;drag;search;R;59;0;0;0;5,993404;0;255,5;11,84488;0
g01;p02;C;9;0;drag;move;R;43;2;2;0;3,793412;0;7,538956;8,722229;4,14267
g01;p02;C;10;0;drag;search;L;6;0;0;0;8,403777;0;536,5;21,08868;0
g01;p02;C;11;0;drag;move;L;10;2;2;0;3,431433;3;24557,38;15,61111;3,731506
g01;p02;C;12;0;drag;search;B;31;0;0;0;6,666958;0;137;9,339264;0
g01;p02;C;13;0;drag;move;B;25;2;2;0;3,452227;0;0;5,611115;5,886292
g01;p02;C;14;0;drag;search;L;14;0;0;0;6,743428;0;341,5;15,69147;0
g01;p02;C;15;0;drag;move;L;19;1;1;0;3,862199;1;26,6261;6,244446;2,098907
g01;p02;C;16;0;drag;move;R;43;3;1;0;7,859641;2;132,3485;12,37775;4,442993
g01;p02;C;17;0;drag;search;R;59;0;0;0;4,658244;0;416,5;14,96588;0
g01;p02;C;18;0;drag;move;B;29;4;2;0;7,561808;1;38,02803;11,01111;7,241394
g01;p02;C;19;0;drag;search;B;34;0;0;0;4,017635;0;474;16,02539;0
g01;p02;C;20;0;drag;move;R;51;2;1;0;4,360821;1;91,42075;10,55554;7,130005
g01;p02;C;21;0;drag;search;R;47;0;0;0;4,500463;0;452;19,5379;0
g01;p02;C;22;0;drag;move;L;8;3;0;0;7,679432;2;104,8837;13,71112;4,586731
