Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g01;p01;C;0;1;drag;move;B;22;45;30;7;84.92929;12;2472.503;141.6168;123.766
g01;p01;C;1;1;drag;search;B;37;0;0;0;41.95015;0;1066;49.75499;0
g01;p01;C;2;1;drag;move;L;11;5;4;1;12.05578;5;325.0237;39.77887;9.084839
g01;p01;C;3;1;drag;search;L;8;0;0;0;5.088462;0;113.5;7.263885;0
g01;p01;C;4;1;drag;move;R;47;5;2;2;8.981247;4;153.3232;31.92142;7.940948
g01;p01;C;5;1;drag;search;R;51;0;0;0;4.357177;0;463.5;11.62787;0
g01;p01;C;6;0;drag;move;B;34;9;7;2;21.37258;8;331.2404;26.80548;12.02762
g01;p01;C;7;0;drag;search;B;29;0;0;0;4.451188;0;371;13.97113;0
g01;p01;C;8;0;drag;move;R;59;1;1;0;5.993404;7;234.4338;11.80319;2.798706
g01;p01;C;9;0;drag;search;R;43;0;0;0;3.793412;0;116.5;8.729156;0
g01;p01;C;10;0;drag;move;L;6;2;1;1;8.532605;10;456.6498;21.08841;7.574127
g01;p01;C;11;0;drag;search;L;10;0;0;0;3.376083;0;261;15.58148;0
g01;p01;C;12;0;drag;move;B;31;1;0;1;6.735773;4;143.3239;9.331268;2.143555
g01;p01;C;13;0;drag;search;B;25;0;0;0;3.452227;0;79;5.641998;0
g01;p01;C;14;0;drag;move;L;14;3;3;0;6.743428;6;311.0791;15.66507;4.675629
g01;p01;C;15;0;drag;search;L;19;0;0;0;3.862199;0;117.5;6.30835;0
g01;p01;C;16;0;drag;search;R;43;0;0;0;7.742552;0;348.5;12.37207;0
g01;p01;C;17;0;drag;move;R;59;2;2;0;4.658244;6;415.8978;14.97882;3.554016
g01;p01;C;18;0;drag;search;B;29;0;0;0;7.561808;0;234;10.97278;0
g01;p01;C;19;0;drag;move;B;34;2;2;0;4.017635;8;341.3992;16.00714;3.665161
g01;p01;C;20;0;drag;search;R;51;0;0;0;4.133274;0;146;10.57275;0.3665161
g01;p01;C;21;0;drag;move;R;47;1;1;0;4.714345;7;466.3387;19.49231;2.887695
g01;p01;C;22;0;drag;search;L;8;0;0;0;7.679432;0;334.5;13.69397;0
g01;p01;C;23;0;drag;move;L;11;1;1;0;4.883865;7;222.6912;12.46619;4.297729
g01;p01;C;24;0;drag;search;B;37;0;0;0;8.002255;0;181;15.56006;0
g01;p01;C;25;0;drag;move;B;22;1;0;1;3.322076;2;127.317;11.55298;3.153564
#pause;
g01;p01;C;26;1;TP;move;R;40;2;2;0;5.234587;0;0;19.13586;1.011108
g01;p01;C;27;1;TP;search;R;56;0;0;0;7.577024;2;180;20.32422;1.028442
g01;p01;C;28;1;TP;move;B;24;2;2;0;6.339187;2;180;12.90381;1.021729
g01;p01;C;29;1;TP;search;B;39;0;0;0;3.845253;2;180;17.69214;0.5206299
g01;p01;C;30;1;TP;move;L;2;1;1;0;8.279338;0;0;7.587158;0.5111084
g01;p01;C;31;1;TP;search;L;17;0;0;0;4.950106;0;0;8.96228;0.5159912
g01;p01;C;32;0;TP;move;R;54;2;2;0;6.726903;2;180;34.29834;1.022095
g01;p01;C;33;0;TP;search;R;49;0;0;0;4.616999;3;270;8.507446;0.5124512
g01;p01;C;34;0;TP;move;B;26;1;1;0;6.766756;2;180;7.839844;0.5001221
g01;p01;C;35;0;TP;search;B;32;0;0;0;2.625272;3;270;23.45593;0.5175781
g01;p01;C;36;0;TP;move;L;4;2;2;0;5.250523;1;90;10.44861;1.021606
g01;p01;C;37;0;TP;search;L;0;0;0;0;2.780901;4;360;20.87891;0.5124512
g01;p01;C;38;0;TP;move;R;58;2;2;0;7.625378;1;90;10.65918;1.011108
g01;p01;C;39;0;TP;search;R;42;0;0;0;4.16766;1;90;10.85046;0.911377
g01;p01;C;40;0;TP;move;L;15;1;1;0;7.437705;1;90;10.20544;0.5108643
g01;p01;C;41;0;TP;search;L;1;0;0;0;2.46091;1;90;14.08215;0.5206299
g01;p01;C;42;0;TP;search;B;32;0;0;0;5.841603;1;90;13.88281;0.5123291
g01;p01;C;43;0;TP;move;B;26;1;1;0;3.230697;0;0;12.80505;0.5113525
g01;p01;C;44;0;TP;search;R;49;0;0;0;7.647269;3;270;21.69055;0.517334
g01;p01;C;45;0;TP;move;R;54;2;2;0;5.410388;3;270;11.05347;1.010986
g01;p01;C;46;0;TP;search;L;17;0;0;0;6.163267;2;180;14.09326;0.5136719
g01;p01;C;47;0;TP;move;L;2;1;1;0;5.208878;2;180;12.67419;0.9885254
g01;p01;C;48;0;TP;search;B;39;0;0;0;9.058248;1;90;11.13916;0.5117188
g01;p01;C;49;0;TP;move;B;24;1;1;0;5.119373;0;0;6.117676;0.5107422
g01;p01;C;50;0;TP;search;R;56;0;0;0;6.313669;1;90;14.00464;0.5115967
g01;p01;C;51;0;TP;move;R;40;2;2;0;6.171555;5;450;27.47522;1.021606
#pause;
g01;p01;C;52;1;joy;move;B;23;9;0;0;13.50563;7;0;29.81114;9.171989
g01;p01;C;53;1;joy;search;B;38;0;0;0;7.055474;0;919;46.03448;0
g01;p01;C;54;1;joy;move;R;45;11;0;0;3.500934;16;296.1798;28.46533;7.351608
g01;p01;C;55;1;joy;search;R;50;0;0;0;3.430345;0;695;44.39072;0
g01;p01;C;56;1;joy;move;L;12;8;0;0;8.985469;6;100.3859;13.83609;6.631805
g01;p01;C;57;1;joy;search;L;9;0;0;0;4.647785;0;485.5;23.44516;0
g01;p01;C;58;0;joy;move;B;36;8;0;0;3.509145;5;28.22757;9.528656;5.130493
g01;p01;C;59;0;joy;search;B;30;0;0;0;13.27335;0;396.5;26.81003;0
g01;p01;C;60;0;joy;move;R;53;7;0;0;9.898079;10;45.22956;12.63834;8.310303
g01;p01;C;61;0;joy;search;R;57;0;0;0;26.85586;0;1298.5;44.59094;0
g01;p01;C;62;0;joy;move;L;13;6;0;0;6.615578;7;50.72635;9.677582;3.925598
g01;p01;C;63;0;joy;search;L;7;0;0;0;5.762424;0;107.5;10.35077;0
g01;p01;C;64;0;joy;move;B;33;8;0;0;2.150608;10;27.22249;13.66577;5.788147
g01;p01;C;65;0;joy;search;B;28;0;0;0;5.270958;0;165.5;8.151184;0
g01;p01;C;66;0;joy;move;R;48;8;0;0;6.031517;30;108.0833;15.61163;5.127991
g01;p01;C;67;0;joy;search;R;52;0;0;0;4.912148;0;447;25.47717;0
g01;p01;C;68;0;joy;search;R;57;0;0;0;3.400848;0;293;16.85956;0
g01;p01;C;69;0;joy;move;R;53;9;0;0;1.730851;10;143.4309;16.49158;4.017334
g01;p01;C;70;0;joy;search;B;30;0;0;0;6.474398;0;87.5;8.185303;0
g01;p01;C;71;0;joy;move;B;36;11;0;0;3.656183;14;104.4454;11.61029;3.840393
g01;p01;C;72;0;joy;search;L;9;0;0;0;4.845915;0;489.5;13.47192;0
