Group;Participant;CollabEnvironememnt;MoveMode;CardToTag;nbMove;distTotal;nbRotate;rotateTotal;trialTime;moveTime;
g01;p01;C;drag;12;8;509;0;565;37.83767;523.1208;
g01;p01;C;sync;28;0;810;0;810;48.95525;0;
#pause;
g01;p01;C;TP;40;4;4;0;2;35.30583;2.021973;
g01;p01;C;sync;2;0;4;0;6;27.99805;2.065674;
#pause;
g01;p01;C;joy;20;13;414;7;115;26.62106;17.08209;
g01;p01;C;sync;15;0;1884;0;1884;39.68243;0;
#pause;
