Group;Participant;CollabEnvironememnt;MoveMode;CardToTag;nbTag;nbChangeTag
g01;p02;C;drag;12;2;0
g01;p02;C;drag;28;1;0
#pause;
g01;p02;C;TP;40;1;0
g01;p02;C;TP;2;0;0
