Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g02;p01;C;0;1;TP;move;B;22;1;0;3.465997;6;540;14.97079;0.5107498
g02;p01;C;1;1;TP;search;B;37;0;0;8.628445;0;0;6.147812;1.029968
g02;p01;C;2;1;TP;move;L;11;1;0;8.048488;1;90;6.352432;0.5109406
g02;p01;C;3;1;TP;search;R;51;0;0;7.811312;2;180;9.659164;0.504715
g02;p01;C;4;1;TP;move;R;47;1;1;3.219663;2;180;14.52716;0.5002289
g02;p01;C;5;1;TP;search;L;8;0;0;9.256086;1;90;14.64821;1.532181
g02;p01;C;6;0;TP;move;B;34;1;1;2.867956;4;360;18.18077;0.5110931
g02;p01;C;7;0;TP;search;B;29;0;0;17.36208;3;270;30.17761;2.053482
g02;p01;C;8;0;TP;move;R;59;2;2;7.085441;3;270;13.40488;1.021942
g02;p01;C;9;0;TP;search;R;43;0;0;3.180472;1;90;13.79654;0.5195313
g02;p01;C;10;0;TP;move;L;6;2;2;7.368284;2;180;15.28214;1.021973
g02;p01;C;11;0;TP;search;L;10;0;0;5.719051;0;0;6.261292;1.036682
g02;p01;C;12;0;TP;move;B;31;1;1;5.623951;1;90;8.18512;0.5110474
g02;p01;C;13;0;TP;search;B;25;0;0;9.616793;0;0;6.415527;1.023987
g02;p01;C;14;0;TP;move;L;14;1;1;5.490084;3;270;10.10645;0.5002441
g02;p01;C;15;0;TP;search;L;19;0;0;7.12429;0;0;10.68021;1.032501
#pause;
g02;p01;C;16;1;drag;move;R;40;2;1;10.27575;2;156.6188;10.23947;2.131989
g02;p01;C;17;1;drag;search;R;56;0;0;4.672868;0;143.5;4.804413;0
g02;p01;C;18;1;drag;move;B;24;1;0;6.387208;2;220.7618;8.59613;1.643524
g02;p01;C;19;1;drag;search;B;39;0;0;5.120616;0;184.5;6.850525;0
g02;p01;C;20;1;drag;move;L;2;2;1;9.928841;3;228.0335;11.03928;2.632202
g02;p01;C;21;1;drag;search;L;17;0;0;4.145768;0;135;7.195343;0
g02;p01;C;22;0;drag;move;R;54;2;1;6.656809;3;296.7339;12.13852;2.043457
g02;p01;C;23;0;drag;search;R;49;0;0;9.943762;0;207;7.335876;0
g02;p01;C;24;0;drag;move;B;26;2;1;8.875714;1;66.1577;8.385071;1.854736
g02;p01;C;25;0;drag;search;B;32;0;0;6.187242;0;141;9.648315;0
g02;p01;C;26;0;drag;move;L;4;4;2;7.2191;4;352.0234;15.90375;3.155396
g02;p01;C;27;0;drag;search;L;0;0;0;1.540411;0;130;7.786438;0
g02;p01;C;28;0;drag;move;R;58;2;1;7.999087;3;166.5041;12.58331;3.531006
g02;p01;C;29;0;drag;search;R;42;0;0;4.513896;0;196.5;9.172119;0
g02;p01;C;30;0;drag;move;L;15;3;1;10.65186;4;249.6347;17.72528;2.987244
g02;p01;C;31;0;drag;search;L;18;0;0;4.987361;0;257;11.34564;0
#pause;
g02;p01;C;32;1;joy;move;B;23;4;0;2.514957;3;109.0762;6.052917;10.70251
g02;p01;C;33;1;joy;search;B;38;0;0;8.249562;0;113.5;6.641174;0
g02;p01;C;34;1;joy;move;R;45;5;0;3.559287;7;209.9476;11.51691;1.062683
g02;p01;C;35;1;joy;search;R;50;0;0;10.55762;0;173.5;13.16144;0
g02;p01;C;36;1;joy;move;L;12;5;0;7.606476;8;217.8005;10.42859;2.109192
g02;p01;C;37;1;joy;search;L;9;0;0;8.488667;0;89;6.818054;0
g02;p01;C;38;0;joy;move;B;36;17;0;13.13208;11;122.6161;14.68182;6.109131
g02;p01;C;39;0;joy;search;B;30;0;0;15.82899;0;522.5;34.58209;0
g02;p01;C;40;0;joy;move;R;53;14;0;9.941667;8;63.8924;18.16956;9.479736
g02;p01;C;41;0;joy;search;R;57;0;0;7.144513;0;177.5;17.29724;0
g02;p01;C;42;0;joy;move;L;13;11;0;9.548822;14;74.32327;17.03638;2.653564
g02;p01;C;43;0;joy;search;L;7;0;0;10.15429;0;244;16.28015;0
g02;p01;C;44;0;joy;move;B;35;12;0;5.802356;8;53.56434;13.04956;2.156372
g02;p01;C;45;0;joy;search;B;28;0;0;35.08123;0;1922.5;68.1178;0
g02;p01;C;46;0;joy;move;R;48;62;0;27.49453;34;233.7711;1160.804;15.68567
