Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g03;p01;C;0;1;joy;move;B;22;29;0;0;17.56314;66;254.1266;76.9567;34.33785
g03;p01;C;1;1;joy;search;B;37;0;0;0;12.31994;0;309.5;29.8531;0
g03;p01;C;2;1;joy;move;L;11;9;0;0;10.15323;18;279.1701;26.11031;5.186584
g03;p01;C;3;1;joy;search;L;8;0;0;0;7.617201;0;187;12.64993;0
g03;p01;C;4;1;joy;move;R;47;19;0;0;12.01305;34;195.7535;28.84177;6.135101
g03;p01;C;5;1;joy;search;R;51;0;0;0;8.410348;0;236;14.1712;0
g03;p01;C;6;0;joy;move;B;34;12;0;0;6.899245;7;59.65862;7.255493;4.383514
g03;p01;C;7;0;joy;search;B;29;0;0;0;10.29003;0;166.5;7.540955;0
g03;p01;C;8;0;joy;move;R;59;6;0;0;7.135253;9;178.2799;10.35782;4.633514
g03;p01;C;9;0;joy;search;R;43;0;0;0;8.101668;0;177.5;7.59668;0
g03;p01;C;10;0;joy;move;L;6;5;0;0;7.74599;7;113.0799;7.356995;4.62384
g03;p01;C;11;0;joy;search;L;10;0;0;0;6.909921;0;172;5.874969;0
g03;p01;C;12;0;joy;move;B;31;6;0;0;10.17976;9;120.7432;7.958038;3.1828
g03;p01;C;13;0;joy;search;B;25;0;0;0;8.036117;0;157;8.495941;0
g03;p01;C;14;0;joy;move;L;14;7;0;0;10.39643;8;92.82336;7.444366;3.579559
g03;p01;C;15;0;joy;search;L;19;0;0;0;10.80103;0;299.5;9.251282;0
g03;p01;C;16;0;joy;search;R;43;0;0;0;7.19001;0;440.5;8.407196;0
g03;p01;C;17;0;joy;move;R;59;10;0;0;8.066757;11;70.64767;7.173462;3.131165
g03;p01;C;18;0;joy;search;B;29;0;0;0;5.585239;0;298;6.051147;0
g03;p01;C;19;0;joy;move;B;34;5;0;0;4.171317;9;61.43578;4.838989;2.176636
g03;p01;C;20;0;joy;search;R;51;0;0;0;7.161135;0;267.5;7.423157;0
g03;p01;C;21;0;joy;move;R;47;7;0;0;8.90994;5;45.70756;17.70941;6.098267
g03;p01;C;22;0;joy;search;L;8;0;0;0;11.05266;0;282;7.896423;0
g03;p01;C;23;0;joy;move;L;11;4;0;0;6.508714;5;52.27864;5.508545;2.182129
g03;p01;C;24;0;joy;search;B;37;0;0;0;8.748857;0;235.5;6.405396;0
g03;p01;C;25;0;joy;move;B;22;5;0;0;9.044303;4;31.80474;4.945557;3.441589
#pause;
g03;p01;C;26;1;TP;move;R;40;1;0;0;5.302394;1;90;21.24341;0.510376
g03;p01;C;27;1;TP;search;R;56;0;0;0;5.629841;0;0;10.51953;0.5174561
g03;p01;C;28;1;TP;move;B;24;1;0;0;6.310465;1;90;11.29822;0.5002441
g03;p01;C;29;1;TP;search;B;39;0;0;0;4.417785;2;180;14.30457;0.5029297
g03;p01;C;30;1;TP;move;L;2;1;0;0;8.448757;1;90;16.53687;0.5001221
g03;p01;C;31;1;TP;search;L;17;0;0;0;3.370505;0;0;8.362427;0.5192871
g03;p01;C;32;0;TP;move;R;54;1;1;0;6.462716;2;180;12.9447;0.5109863
g03;p01;C;33;0;TP;search;R;49;0;0;0;4.731867;0;0;7.274414;0.5183105
g03;p01;C;34;0;TP;move;B;26;1;0;0;7.554637;1;90;9.567627;0.5108643
g03;p01;C;35;0;TP;search;B;32;0;0;0;1.560685;0;3.415095E-06;5.619507;0.5090332
g03;p01;C;36;0;TP;move;L;4;1;0;0;4.186117;3;270;10.31238;0.5107422
g03;p01;C;37;0;TP;search;L;0;0;0;0;2.519508;0;0;7.074341;0.5200195
g03;p01;C;38;0;TP;move;R;58;1;0;0;7.038206;2;180;8.778931;0.5101318
g03;p01;C;39;0;TP;search;R;42;0;0;0;3.02893;0;0;7.696533;0.5170898
g03;p01;C;40;0;TP;move;L;15;1;1;0;6.512203;2;180;11.35498;0.5108643
g03;p01;C;41;0;TP;search;L;1;0;0;0;1.66742;0;0;5.220093;0.5186768
g03;p01;C;42;0;TP;search;B;32;0;0;0;5.783267;1;90;6.696899;0.5128174
g03;p01;C;43;0;TP;move;B;26;1;0;0;2.485745;2;180;9.02832;0.5108643
g03;p01;C;44;0;TP;search;R;49;0;0;0;8.751407;1;90;9.717896;1.014038
g03;p01;C;45;0;TP;move;R;54;1;0;0;3.972283;0;0;5.562744;0.5107422
g03;p01;C;46;0;TP;search;L;17;0;0;0;6.830861;2;180;9.040039;0.5130615
g03;p01;C;47;0;TP;move;L;2;1;0;0;4.506763;0;0;6.08606;0.5109863
g03;p01;C;48;0;TP;search;B;39;0;0;0;9.445415;1;90;5.997559;0.5162354
g03;p01;C;49;0;TP;move;B;24;1;0;0;3.769416;0;0;4.256714;0.5107422
g03;p01;C;50;0;TP;search;R;56;0;0;0;5.86037;3;270;15.85962;1.028198
g03;p01;C;51;0;TP;move;R;40;1;0;0;5.34832;0;0;5.752197;0.5106201
#pause;
g03;p01;C;52;1;drag;move;B;23;3;0;0;5.824626;1;451.2264;22.23755;4.33667
g03;p01;C;53;1;drag;search;B;38;0;0;0;10.49942;0;143.5;10.05078;0
g03;p01;C;54;1;drag;move;R;45;2;1;1;3.879276;1;80.61903;11.62207;2.30249
g03;p01;C;55;1;drag;search;R;50;0;0;0;3.311671;0;91;5.886108;0
g03;p01;C;56;1;drag;move;L;12;1;1;0;9.030201;3;205.6225;11.84668;1.484131
g03;p01;C;57;1;drag;search;L;9;0;0;0;4.964977;0;115.5;7.6521;0
g03;p01;C;58;0;drag;move;B;36;3;2;1;4.599086;2;154.9728;10.78967;2.954224
g03;p01;C;59;0;drag;search;B;30;0;0;0;4.093701;0;94.5;5.463623;0
g03;p01;C;60;0;drag;move;R;53;1;0;1;6.635706;0;0.2184372;6.391968;1.205933
g03;p01;C;61;0;drag;search;R;57;0;0;0;4.059946;0;80.5;4.553711;0
g03;p01;C;62;0;drag;move;L;13;1;0;1;7.517848;1;25.74234;5.979248;1.584106
g03;p01;C;63;0;drag;search;L;7;0;0;0;5.023795;0;39.5;5.709106;0
g03;p01;C;64;0;drag;move;B;33;1;0;1;2.819552;1;87.22119;6.229492;0.9509277
g03;p01;C;65;0;drag;search;B;28;0;0;0;4.817459;0;128.5;5.919434;0
g03;p01;C;66;0;drag;move;R;48;3;2;1;7.371755;1;98.4781;8.650635;1.949585
g03;p01;C;67;0;drag;search;R;52;0;0;0;5.208449;0;107;4.509033;0
g03;p01;C;68;0;drag;search;R;57;0;0;0;8.74394;0;329;20.1687;0
