Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g01;p01;C;0;1;drag;move;L;12;220;0;217;0;0;4.964706;2.41021
g01;p01;C;1;1;drag;search;B;28;0;0;588;0;588;13.14485;0
g01;p01;C;2;1;drag;move;R;57;0;0;0;0;0;0;0
