Group;Participant;CollabEnvironememnt;MoveMode;CardToTag;nbMove;distTotal;nbRotate;rotateTotal;trialTime;moveTime;
g01;p01;C;drag;12;4;49;0;52;6.674192;88.79083;
g01;p01;C;sync;28;0;718;0;718;20.14166;0;
#pause;
