Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g02;p01;C;0;1;TP;move;B;22;1;1;0;4.222789;0;0;5.43734;0.5106735
g02;p01;C;1;1;TP;search;B;37;0;0;0;5.107484;0;0;5.830345;0.5124817
g02;p01;C;2;1;TP;move;L;11;1;1;0;8.357526;1;90;9.039619;0.5105743
g02;p01;C;3;1;TP;search;L;8;0;0;0;6.652487;0;0;7.518784;0.5144043
g02;p01;C;4;1;TP;move;R;47;2;1;0;7.582187;2;180;19.07068;1.010849
g02;p01;C;5;1;TP;search;R;51;0;0;0;3.080144;0;0;4.631233;0.5129852
