Group;Participant;CollabEnvironememnt;MoveMode;CardToTag;nbMove;distTotal;nbRotate;rotateTotal;trialTime;moveTime;
g01;p02;C;drag;12;0;413;0;239;14.53756;7.232396;
g01;p02;C;drag;28;0;101;0;37;5.1628;1.528458;
#pause;
g01;p02;C;TP;40;0;0;0;0;4.975143;0;
