Group;Participant;CollabEnvironememnt;MoveMode;CardToTag;nbMove;distTotal;nbRotate;rotateTotal;trialTime;moveTime;
g01;p02;C;drag;12;0;109;0;52;7.762936;1.53189;
g01;p02;C;drag;28;0;216;0;92;11.07295;2.741297;
#pause;
