Group;Participant;CollabEnvironememn;trialNb;training;MoveMode;wall;CardToTag;
g03;p02;C;3;1;joy;move;L;8;
g03;p01;C;4;1;joy;move;R;47;
g03;p02;C;4;1;joy;search;R;47;
g03;p01;C;5;1;joy;search;R;51;
g03;p02;C;5;1;joy;move;R;51;
g03;p01;C;6;0;joy;move;B;34;
g03;p02;C;6;0;joy;search;B;34;
g03;p01;C;7;0;joy;search;B;29;
g03;p02;C;7;0;joy;move;B;29;
g03;p01;C;8;0;joy;move;R;59;
g03;p02;C;8;0;joy;search;R;59;
g03;p01;C;9;0;joy;search;R;43;
g03;p02;C;9;0;joy;move;R;43;
g03;p01;C;10;0;joy;move;L;6;
g03;p02;C;10;0;joy;search;L;6;
g03;p01;C;11;0;joy;search;L;10;
g03;p02;C;11;0;joy;move;L;10;
g03;p01;C;12;0;joy;move;B;31;
g03;p02;C;12;0;joy;search;B;31;
g03;p01;C;13;0;joy;search;B;25;
g03;p02;C;13;0;joy;move;B;25;
g03;p01;C;14;0;joy;move;L;14;
g03;p02;C;14;0;joy;search;L;14;
g03;p01;C;15;0;joy;search;L;19;
g03;p02;C;15;0;joy;move;L;19;
g03;p01;C;16;0;joy;search;R;43;
g03;p02;C;16;0;joy;move;R;43;
g03;p01;C;17;0;joy;move;R;59;
g03;p02;C;17;0;joy;search;R;59;
g03;p01;C;18;0;joy;search;B;29;
g03;p02;C;18;0;joy;move;B;29;
g03;p01;C;19;0;joy;move;B;34;
g03;p02;C;19;0;joy;search;B;34;
g03;p01;C;20;0;joy;search;R;51;
g03;p02;C;20;0;joy;move;R;51;
g03;p01;C;21;0;joy;move;R;47;
g03;p02;C;21;0;joy;search;R;47;
g03;p01;C;22;0;joy;search;L;8;
g03;p02;C;22;0;joy;move;L;8;
g03;p01;C;23;0;joy;move;L;11;
g03;p02;C;23;0;joy;search;L;11;
g03;p01;C;24;0;joy;search;B;37;
g03;p02;C;24;0;joy;move;B;37;
g03;p01;C;25;0;joy;move;B;22;
g03;p02;C;25;0;joy;search;B;22;
#pause;
g03;p01;C;26;1;TP;move;R;40;
g03;p02;C;26;1;TP;search;R;40;
g03;p01;C;27;1;TP;search;R;56;
g03;p02;C;27;1;TP;move;R;56;
g03;p01;C;28;1;TP;move;B;24;
g03;p02;C;28;1;TP;search;B;24;
g03;p01;C;29;1;TP;search;B;39;
g03;p02;C;29;1;TP;move;B;39;
g03;p01;C;30;1;TP;move;L;2;
g03;p02;C;30;1;TP;search;L;2;
g03;p01;C;31;1;TP;search;L;17;
g03;p02;C;31;1;TP;move;L;17;
g03;p01;C;32;0;TP;move;R;54;
g03;p02;C;32;0;TP;search;R;54;
g03;p01;C;33;0;TP;search;R;49;
g03;p02;C;33;0;TP;move;R;49;
g03;p01;C;34;0;TP;move;B;26;
g03;p02;C;34;0;TP;search;B;26;
g03;p01;C;35;0;TP;search;B;32;
g03;p02;C;35;0;TP;move;B;32;
g03;p01;C;36;0;TP;move;L;4;
g03;p02;C;36;0;TP;search;L;4;
g03;p01;C;37;0;TP;search;L;0;
g03;p02;C;37;0;TP;move;L;0;
g03;p01;C;38;0;TP;move;R;58;
g03;p02;C;38;0;TP;search;R;58;
g03;p01;C;39;0;TP;search;R;42;
g03;p02;C;39;0;TP;move;R;42;
g03;p01;C;40;0;TP;move;L;15;
g03;p02;C;40;0;TP;search;L;15;
g03;p01;C;41;0;TP;search;L;1;
g03;p02;C;41;0;TP;move;L;1;
g03;p01;C;42;0;TP;search;B;32;
g03;p02;C;42;0;TP;move;B;32;
g03;p01;C;43;0;TP;move;B;26;
g03;p02;C;43;0;TP;search;B;26;
g03;p01;C;44;0;TP;search;R;49;
g03;p02;C;44;0;TP;move;R;49;
g03;p01;C;45;0;TP;move;R;54;
g03;p02;C;45;0;TP;search;R;54;
g03;p01;C;46;0;TP;search;L;17;
g03;p02;C;46;0;TP;move;L;17;
g03;p01;C;47;0;TP;move;L;2;
g03;p02;C;47;0;TP;search;L;2;
g03;p01;C;48;0;TP;search;B;39;
g03;p02;C;48;0;TP;move;B;39;
g03;p01;C;49;0;TP;move;B;24;
g03;p02;C;49;0;TP;search;B;24;
g03;p01;C;50;0;TP;search;R;56;
g03;p02;C;50;0;TP;move;R;56;
g03;p01;C;51;0;TP;move;R;40;
g03;p02;C;51;0;TP;search;R;40;
#pause;
g03;p01;C;52;1;drag;move;B;23;
g03;p02;C;52;1;drag;search;B;23;
g03;p01;C;53;1;drag;search;B;38;
g03;p02;C;53;1;drag;move;B;38;
g03;p01;C;54;1;drag;move;R;45;
g03;p02;C;54;1;drag;search;R;45;
g03;p01;C;55;1;drag;search;R;50;
g03;p02;C;55;1;drag;move;R;50;
